accession	phylum	checkm2_completeness	checkm2_contamination
RS_GCF_014656435.1	Pseudomonadota	100.0	0.72
RS_GCF_040303205.1	Actinomycetota	100.0	0.94
RS_GCF_900102965.1	Bacillota	100.0	0.16
RS_GCF_018882095.1	Pseudomonadota	99.96	0.03
GB_GCA_002419365.1	Bacillota	95.92	2.03
GB_GCA_014381855.1	Marinisomatota	94.4	0.25
GB_GCA_902780585.1	Bacillota	94.96	6.49
GB_GCA_937923625.1	Pseudomonadota	99.83	0.43
GB_GCA_041547605.1	Desulfobacterota	94.96	4.46
GB_GCA_903930735.1	Pseudomonadota	100.0	4.45
GB_GCA_963922495.1	Pseudomonadota	99.24	0.78
GB_GCA_031551255.1	Bacillota	96.96	0.81
GB_GCA_937897625.1	Bacteroidota	93.72	3.2
GB_GCA_905480575.1	Pseudomonadota	99.83	1.22
GB_GCA_017794925.1	Pseudomonadota	95.54	0.11
RS_GCF_002259595.1	Actinomycetota	83.96	0.7
GB_GCA_017503075.1	Bacteroidota	99.55	5.49
RS_GCF_029504395.1	Actinomycetota	100.0	0.79
RS_GCF_020521235.1	Cyanobacteriota	100.0	0.83
GB_GCA_038208485.1	Bacteroidota	91.77	4.43
GB_GCA_029433265.1	Bacillota	98.97	0.04
RS_GCF_013035425.1	Pseudomonadota	99.69	0.02
RS_GCF_030654605.1	Pseudomonadota	97.08	1.77
GB_GCA_001464315.1	Pseudomonadota	99.78	0.33
GB_GCA_938023335.1	Actinomycetota	99.95	1.63
GB_GCA_030833205.1	Verrucomicrobiota	88.21	0.29
GB_GCA_947625935.1	Bacteroidota	99.99	0.7
GB_GCA_028688955.1	Desulfobacterota	98.98	5.91
GB_GCA_012522695.1	Bacillota	88.35	3.29
GB_GCA_902774815.1	Bacteroidota	96.35	0.01
GB_GCA_036734945.1	Chloroflexota	97.88	8.54
GB_GCA_963668285.1	Bacteroidota	98.12	5.89
RS_GCF_000316575.1	Cyanobacteriota	100.0	0.06
RS_GCF_021497885.1	Bacillota	99.95	0.08
RS_GCF_000196455.1	Bacillota	99.97	0.5
RS_GCF_023715585.1	Bacillota	99.15	0.34
GB_GCA_002398105.1	Bacillota	95.76	1.66
GB_GCA_003140855.1	Vulcanimicrobiota	94.29	1.12
RS_GCF_036388155.1	Bacteroidota	99.9	0.72
GB_GCA_030837965.1	Actinomycetota	97.92	4.18
RS_GCF_038404985.1	Pseudomonadota	99.89	0.31
GB_GCA_036734545.1	Bacteroidota	97.23	0.09
RS_GCF_021655075.1	Bacillota	99.74	1.31
RS_GCF_040630785.1	Actinomycetota	100.0	0.33
RS_GCF_024171885.1	Actinomycetota	100.0	0.66
GB_GCA_000721275.1	Actinomycetota	100.0	0.1
RS_GCF_014645695.1	Pseudomonadota	100.0	0.27
GB_GCA_033793495.1	Actinomycetota	99.98	1.45
RS_GCF_003944325.1	Bacillota	100.0	0.39
RS_GCF_039531425.1	Actinomycetota	100.0	0.22
RS_GCF_031978665.1	Bacillota	99.89	1.2
GB_GCA_036277075.1	Acidobacteriota	95.83	3.29
GB_GCA_014380615.1	Bacteroidota	93.06	0.69
GB_GCA_016712535.1	Bacteroidota	100.0	1.26
GB_GCA_022425195.1	Bacteroidota	98.98	0.13
GB_GCA_910577315.1	Bacteroidota	99.99	0.1
GB_GCA_039973155.1	Pseudomonadota	99.71	0.39
GB_GCA_016793245.1	Planctomycetota	89.59	1.75
GB_GCA_022448005.1	Pseudomonadota	98.91	1.36
GB_GCA_017631315.1	Bacteroidota	86.58	2.04
GB_GCA_913043225.1	Acidobacteriota	96.15	0.56
GB_GCA_944363885.1	Bacillota	94.39	0.28
GB_GCA_035280365.1	Chloroflexota	86.86	4.57
GB_GCA_014238905.1	Planctomycetota	93.73	1.15
GB_GCA_016235245.1	Nitrospirota	96.18	0.51
GB_GCA_013791705.1	Pseudomonadota	96.67	3.68
GB_GCA_015485525.1	Zhuqueibacterota	96.12	2.13
GB_GCA_040905745.1	Bacteroidota_A	97.71	0.22
GB_GCA_035296065.1	Myxococcota	99.92	2.12
RS_GCF_003402535.2	Pseudomonadota	100.0	3.95
RS_GCF_022647505.1	Pseudomonadota	100.0	0.16
RS_GCF_009649075.1	Actinomycetota	99.99	0.0
RS_GCF_023634865.1	Bacteroidota	100.0	0.04
RS_GCF_039544435.1	Actinomycetota	100.0	0.32
RS_GCF_002150035.1	Spirochaetota	99.94	0.41
RS_GCF_000934725.1	Pseudomonadota	100.0	0.26
RS_GCF_003362755.1	Pseudomonadota	99.99	0.13
RS_GCF_029242675.1	Bacteroidota	95.49	2.78
GB_GCA_040003385.1	Bacteroidota	92.33	0.27
GB_GCA_020532355.1	Cloacimonadota	99.61	0.91
GB_GCA_964203565.1	Pseudomonadota	99.76	2.18
GB_GCA_023262945.1	Pseudomonadota	96.74	0.38
GB_GCA_023410025.1	Bacillota	97.47	1.38
GB_GCA_025363155.1	Pseudomonadota	97.36	6.54
GB_GCA_964196205.1	Desulfobacterota	92.13	1.42
GB_GCA_011391595.1	Pseudomonadota	93.76	0.4
GB_GCA_948467735.1	Bacillota	94.64	2.45
RS_GCF_031418915.1	Cyanobacteriota	99.94	5.72
RS_GCF_030263895.1	Bacillota	98.31	4.59
GB_GCA_036500585.1	Pseudomonadota	98.34	3.07
RS_GCF_001808705.1	Bacillota	100.0	0.04
GB_GCA_016464375.1	Bacillota	100.0	0.38
RS_GCF_040298625.1	Actinomycetota	100.0	0.09
RS_GCF_029893325.1	Bacillota	100.0	1.05
RS_GCF_900499005.1	Actinomycetota	100.0	0.22
GB_GCA_001769925.1	Bdellovibrionota	93.77	1.3
RS_GCF_039527935.1	Actinomycetota	99.99	0.44
RS_GCF_001424755.1	Actinomycetota	100.0	0.62
RS_GCF_004348425.1	Actinomycetota	96.49	3.03
RS_GCF_000424265.1	Bacillota	99.99	1.56
RS_GCF_003056055.1	Pseudomonadota	100.0	1.26
RS_GCF_026782285.1	Bacillota	100.0	0.14
RS_GCF_900188385.1	Pseudomonadota	100.0	0.25
GB_GCA_034721895.1	Campylobacterota	99.98	0.79
GB_GCA_018241185.1	Pseudomonadota	99.96	0.01
GB_GCA_001464455.1	Acidobacteriota	97.91	0.02
GB_GCA_040756295.1	Pseudomonadota	99.78	0.04
GB_GCA_916439065.1	Bacillota	84.63	5.47
GB_GCA_029562645.1	Spirochaetota	96.88	3.4
GB_GCA_030749235.1	Planctomycetota	89.78	0.94
GB_GCA_002473165.1	Pseudomonadota	96.48	0.4
GB_GCA_038225555.1	Acidobacteriota	98.77	3.33
GB_GCA_007694885.1	Pseudomonadota	88.33	0.8
GB_GCA_910577655.1	Bacillota	87.27	0.55
GB_GCA_036678505.1	Pseudomonadota	100.0	1.15
GB_GCA_017517305.1	Bacillota	98.66	0.92
GB_GCA_910589125.1	Actinomycetota	94.79	0.28
RS_GCF_000055945.1	Desulfobacterota_I	99.75	0.07
RS_GCF_964058925.1	Pseudomonadota	99.99	0.01
RS_GCF_014171595.1	Pseudomonadota	98.77	0.79
RS_GCF_022631375.1	Bacteroidota	99.97	0.67
RS_GCF_039548895.1	Actinomycetota	100.0	0.02
RS_GCF_030817475.1	Actinomycetota	99.99	0.0
GB_GCA_036391515.1	Acidobacteriota	89.24	6.04
RS_GCF_000743715.1	Pseudomonadota	99.94	0.01
RS_GCF_029675105.1	Actinomycetota	100.0	0.09
RS_GCF_900109165.1	Bacillota	99.95	0.0
RS_GCF_963524305.1	Fusobacteriota	94.2	0.02
GB_GCA_036383995.1	Pseudomonadota	99.06	0.07
GB_GCA_017960905.1	Bacteroidota	97.58	0.28
GB_GCA_031271345.1	Pseudomonadota	99.77	0.37
GB_GCA_028716845.1	UBA1439	94.97	1.26
GB_GCA_015493475.1	Desulfobacterota	99.78	0.62
GB_GCA_015060015.1	Bacteroidota	94.22	0.01
GB_GCA_035627135.1	Myxococcota	96.97	4.27
GB_GCA_020692215.1	Pseudomonadota	100.0	0.02
GB_GCA_030427405.1	Pseudomonadota	99.62	0.0
GB_GCA_028287745.1	Chloroflexota	93.0	1.39
GB_GCA_040388355.1	Pseudomonadota	99.99	0.9
GB_GCA_903840415.1	Verrucomicrobiota	98.08	2.17
RS_GCF_018263855.1	Actinomycetota	100.0	5.35
RS_GCF_000455605.1	Bacteroidota	99.98	0.27
GB_GCA_038231435.1	Planctomycetota	87.64	3.35
RS_GCF_002994635.1	Myxococcota	93.86	1.81
GB_GCA_039025235.1	Pseudomonadota	96.31	0.05
GB_GCA_902764545.1	Bacillota	93.53	3.22
GB_GCA_944332025.1	Bacillota	95.27	1.22
GB_GCA_963978055.1	Actinomycetota	95.32	0.65
RS_GCF_900111695.1	Actinomycetota	99.99	0.72
GB_GCA_900769445.1	Bacteroidota	94.19	5.47
GB_GCA_020073345.1	Acidobacteriota	97.5	0.35
GB_GCA_022771765.1	Bacillota	93.79	1.51
GB_GCA_035492775.1	Acidobacteriota	100.0	2.66
GB_GCA_002342035.1	Pseudomonadota	87.37	2.53
GB_GCA_017618275.1	Bacteroidota	92.07	4.9
GB_GCA_028716165.1	Omnitrophota	95.68	2.07
GB_GCA_945874455.1	Verrucomicrobiota	95.54	0.34
RS_GCF_005080785.1	Pseudomonadota	97.93	0.1
GB_GCA_963664085.1	Chloroflexota	98.31	6.69
GB_GCA_041402005.1	Planctomycetota	89.92	0.46
GB_GCA_959028445.1	Actinomycetota	99.85	0.83
GB_GCA_003134965.1	Vulcanimicrobiota	96.98	0.04
RS_GCF_024171995.1	Actinomycetota	100.0	1.32
RS_GCF_002483205.1	Bacteroidota	96.3	0.25
RS_GCF_020535405.1	Actinomycetota	97.44	0.02
GB_GCA_964007735.1	Planctomycetota	99.16	0.86
RS_GCF_026410195.1	Bacteroidota	99.99	0.24
GB_GCA_039680225.1	Desulfobacterota	93.62	7.48
GB_GCA_947502925.1	Pseudomonadota	98.09	0.02
GB_GCA_039589875.1	Gemmatimonadota	91.82	2.11
RS_GCF_001431415.1	Pseudomonadota	100.0	0.26
RS_GCF_039522585.1	Pseudomonadota	99.96	0.05
RS_GCF_900116415.1	Bacteroidota	99.92	0.5
GB_GCA_024707225.1	Pseudomonadota	99.23	0.51
GB_GCA_934444645.1	Bacillota	97.25	0.98
GB_GCA_036002745.1	Bacteroidota	93.33	1.27
GB_GCA_017436955.1	Bacillota	82.13	0.4
RS_GCF_035369645.1	Pseudomonadota	90.09	0.06
GB_GCA_028277745.1	Planctomycetota	95.55	1.74
GB_GCA_963596815.1	Bacillota	99.34	0.28
GB_GCA_934273635.1	Pseudomonadota	100.0	0.21
GB_GCA_947591155.1	Bacillota	99.02	4.21
RS_GCF_018325905.1	Pseudomonadota	100.0	0.69
RS_GCF_036226405.1	Actinomycetota	100.0	0.16
GB_GCA_013203785.1	Verrucomicrobiota	93.68	0.94
GB_GCA_030055235.1	Bacillota	94.26	1.23
RS_GCF_002920895.1	Bacteroidota	100.0	0.02
RS_GCF_900105555.1	Pseudomonadota	100.0	0.46
GB_GCA_029222685.1	Pseudomonadota	99.43	2.44
GB_GCA_035558955.1	Actinomycetota	92.45	4.32
RS_GCF_000190595.1	Bacteroidota	99.99	0.03
GB_GCA_035454685.1	Pseudomonadota	93.4	5.75
GB_GCA_035760645.1	Gemmatimonadota	92.91	0.68
GB_GCA_034439775.1	Gemmatimonadota	94.13	0.22
GB_GCA_035718275.1	Pseudomonadota	99.83	0.0
GB_GCA_030531205.1	Bacillota	98.78	0.0
GB_GCA_022701985.1	Actinomycetota	94.78	2.4
GB_GCA_944327135.1	Bacillota	96.36	1.23
GB_GCA_944358875.1	Bacillota	93.96	1.33
GB_GCA_035353815.1	Zhuqueibacterota	94.5	0.44
RS_GCF_001456155.1	Bacteroidota	99.97	0.08
RS_GCF_004792515.1	Bacillota	99.98	0.28
GB_GCA_035282865.1	Actinomycetota	94.56	1.82
RS_GCF_001547895.1	Pseudomonadota	100.0	0.3
GB_GCA_036752205.1	Bacillota	91.56	0.07
GB_GCA_014871645.1	Actinomycetota	99.93	0.4
GB_GCA_040387495.1	Pseudomonadota	99.92	0.07
GB_GCA_035384605.1	Planctomycetota	98.44	2.75
RS_GCF_000521215.1	Pseudomonadota	100.0	3.48
RS_GCF_018555685.1	Pseudomonadota	100.0	4.42
RS_GCF_018613875.1	Actinomycetota	98.66	0.36
GB_GCA_031269685.1	Bacteroidota	93.31	1.07
GB_GCA_035695765.1	Pseudomonadota	99.44	0.97
GB_GCA_945829445.1	Bacillota	94.87	1.97
GB_GCA_002352055.1	Pseudomonadota	99.91	4.24
GB_GCA_027308685.1	Pseudomonadota	99.8	1.15
GB_GCA_016713445.1	Bacteroidota	88.27	4.5
GB_GCA_016783135.1	Chloroflexota	95.49	7.38
GB_GCA_937967465.1	Bacteroidota	100.0	0.06
GB_GCA_012839295.1	Bacillota	97.92	3.9
RS_GCF_040882185.1	Pseudomonadota	99.12	0.34
RS_GCF_035474595.1	Gemmatimonadota	96.85	3.95
GB_GCA_038232935.1	Bacteroidota_A	95.3	1.18
GB_GCA_014874425.1	Desulfobacterota	82.62	2.57
GB_GCA_039933015.1	Pseudomonadota	95.15	0.58
RS_GCF_900095225.1	Pseudomonadota	99.98	0.0
GB_GCA_040776885.1	Desulfobacterota	100.0	0.06
RS_GCF_000585335.1	Synergistota	99.98	4.93
RS_GCF_000527095.1	Pseudomonadota	99.97	0.25
GB_GCA_040510375.1	Bacteroidota	95.1	0.87
RS_GCF_040631005.1	Actinomycetota	100.0	0.09
RS_GCF_003014575.1	Bacteroidota	99.97	0.04
GB_GCA_031260125.1	Campylobacterota	100.0	0.0
GB_GCA_041675265.1	Desulfobacterota	97.04	0.88
GB_GCA_026419195.1	Thermotogota	97.66	0.71
GB_GCA_036273855.1	Actinomycetota	98.93	3.62
GB_GCA_024235895.1	Pseudomonadota	95.55	0.02
RS_GCF_030731595.1	Pseudomonadota	96.28	0.47
GB_GCA_018368455.1	Actinomycetota	98.01	0.21
GB_GCA_900314765.1	Bacillota	98.02	0.07
GB_GCA_035499855.1	Bacteroidota	100.0	0.46
GB_GCA_033977085.1	Pseudomonadota	83.18	5.33
RS_GCF_003023845.1	Bacteroidota	99.85	0.73
GB_GCA_002069885.1	UBP15	92.61	2.87
GB_GCA_035524275.1	Pseudomonadota	92.33	0.0
RS_GCF_024029355.1	Bacillota	97.27	0.18
RS_GCF_035538455.1	Bacteroidota	97.92	0.39
RS_GCF_001005825.1	Pseudomonadota	99.91	0.08
RS_GCF_001625085.1	Actinomycetota	100.0	0.0
RS_GCF_006539185.1	Actinomycetota	99.98	0.23
RS_GCF_000719335.1	Actinomycetota	100.0	0.0
GB_GCA_032907525.1	Pseudomonadota	99.6	0.35
RS_GCF_015256775.1	Bacillota	93.49	2.5
GB_GCA_036269235.1	Pseudomonadota	100.0	5.2
GB_GCA_003155655.1	Bacteroidota_A	100.0	1.06
GB_GCA_030429455.1	Bacteroidota	86.48	1.86
GB_GCA_019192455.1	Pseudomonadota	100.0	2.26
GB_GCA_021463865.1	Chloroflexota	97.21	1.24
GB_GCA_001804125.1	Omnitrophota	92.51	0.54
GB_GCA_030536615.1	Bacteroidota	93.88	0.02
GB_GCA_022822325.1	Gemmatimonadota	94.13	1.53
GB_GCA_027483245.1	Verrucomicrobiota	91.93	2.43
GB_GCA_034421295.1	Chloroflexota	93.36	1.12
RS_GCF_033546815.1	Bacillota	95.3	0.0
RS_GCF_004768545.1	Pseudomonadota	100.0	1.62
RS_GCF_030034735.1	Bacillota	100.0	0.54
RS_GCF_041224425.1	Bacteroidota	99.98	0.04
GB_GCA_944349805.1	Bacillota	98.68	0.66
GB_GCA_035940865.1	Actinomycetota	94.7	2.35
RS_GCF_003667505.1	Actinomycetota	100.0	0.43
GB_GCA_039889035.1	Actinomycetota	100.0	0.17
GB_GCA_017616775.1	Bacteroidota	93.52	0.08
GB_GCA_030622545.1	Electryoneota	96.26	0.27
GB_GCA_038231055.1	Cyanobacteriota	88.33	5.84
GB_GCA_024230295.1	Planctomycetota	97.62	3.34
GB_GCA_020442385.1	Pseudomonadota	100.0	0.05
GB_GCA_913055135.1	Aquificota	89.58	1.0
GB_GCA_002402165.1	Bacteroidota	91.19	0.54
RS_GCF_000971975.1	Bacillota	99.16	1.52
RS_GCF_000426665.1	Bacillota	99.86	0.3
RS_GCF_027270315.1	Actinomycetota	100.0	0.16
RS_GCF_037076565.1	Pseudomonadota	100.0	0.0
RS_GCF_040642015.1	Actinomycetota	97.02	1.56
RS_GCF_021484805.1	Bacteroidota	99.9	0.56
RS_GCF_023337795.1	Bacillota	99.88	0.71
GB_GCA_035645535.1	Pseudomonadota	85.76	0.46
GB_GCA_039915665.1	Actinomycetota	93.42	1.18
GB_GCA_963664545.1	Acidobacteriota	98.19	2.55
GB_GCA_902791025.1	Chloroflexota	97.04	3.2
GB_GCA_016720635.1	Bacteroidota	100.0	2.44
GB_GCA_023423275.1	Pseudomonadota	88.4	5.74
GB_GCA_016873775.1	Bacteroidota_A	97.72	1.96
RS_GCF_029203285.1	Pseudomonadota	100.0	0.0
RS_GCF_003991425.1	Bacillota	99.99	3.43
RS_GCF_002849735.1	Actinomycetota	100.0	0.03
RS_GCF_002119525.1	Pseudomonadota	99.99	0.43
RS_GCF_011761605.1	Actinomycetota	100.0	1.53
GB_GCA_038212035.1	Armatimonadota	97.93	0.03
GB_GCA_032055545.1	Pseudomonadota	98.0	2.06
RS_GCF_033793585.1	Actinomycetota	99.97	1.91
RS_GCF_022229015.1	Actinomycetota	99.97	0.2
RS_GCF_001598375.1	Pseudomonadota	100.0	0.07
RS_GCF_011759605.1	Pseudomonadota	100.0	0.02
RS_GCF_026162425.1	Actinomycetota	99.99	0.19
RS_GCF_014137995.1	Actinomycetota	98.81	0.85
RS_GCF_000497205.1	Actinomycetota	100.0	1.33
RS_GCF_015234305.1	Pseudomonadota	100.0	0.74
RS_GCF_018882055.1	Pseudomonadota	100.0	0.01
GB_GCA_014378065.1	Bacteroidota	96.87	3.51
GB_GCA_016783605.1	Omnitrophota	95.14	0.54
GB_GCA_034190285.1	Desulfobacterota	91.98	3.45
GB_GCA_944371605.1	Bacillota	89.87	0.91
GB_GCA_036788215.1	Planctomycetota	90.15	0.0
GB_GCA_030591585.1	Bacteroidota	90.14	0.57
GB_GCA_040772305.1	Chloroflexota	97.36	0.21
GB_GCA_964015035.1	Bacteroidota	100.0	0.82
RS_GCF_963669395.1	Pseudomonadota	82.56	0.73
RS_GCF_022921075.1	Bacteroidota	100.0	0.34
GB_GCA_963666135.1	Armatimonadota	98.29	0.34
GB_GCA_031266815.1	Pseudomonadota	87.96	0.0
GB_GCA_903952145.1	Verrucomicrobiota	93.44	0.96
GB_GCA_944382875.1	Bacillota	98.09	0.07
GB_GCA_903834845.1	Bacteroidota	97.89	6.09
GB_GCA_038200385.1	Actinomycetota	94.28	2.0
GB_GCA_036634775.1	Bacillota	96.85	0.28
GB_GCA_902782665.1	Bacteroidota	87.72	0.24
GB_GCA_012728315.1	Pseudomonadota	93.88	5.42
RS_GCF_023954305.1	Pseudomonadota	100.0	1.51
RS_GCF_900109745.1	Pseudomonadota	100.0	0.16
GB_GCA_900078775.1	Actinomycetota	99.97	1.27
RS_GCF_009617895.1	Bacteroidota	97.65	0.69
RS_GCF_021531795.1	Bacillota	99.82	1.0
RS_GCF_000981895.1	Actinomycetota	100.0	0.89
GB_GCA_963169455.1	Bacteroidota	100.0	1.48
GB_GCA_020831805.1	Planctomycetota	93.07	0.16
GB_GCA_036639135.1	Bacillota	89.32	3.99
GB_GCA_028877205.1	Chloroflexota	96.3	1.85
GB_GCA_035693145.1	Chloroflexota	89.27	4.03
GB_GCA_944377485.1	Bacillota	98.29	0.13
GB_GCA_902727855.1	Campylobacterota	100.0	9.07
GB_GCA_001799565.1	Elusimicrobiota	97.84	0.94
RS_GCF_947495665.1	Bacteroidota	99.95	1.88
GB_GCA_030849285.1	Pseudomonadota	94.35	0.84
RS_GCF_007301515.1	Bacillota	99.99	0.77
RS_GCF_002884975.1	Verrucomicrobiota	100.0	0.08
RS_GCF_004769555.1	Spirochaetota	99.98	0.39
GB_GCA_014132595.1	Pseudomonadota	89.8	0.12
RS_GCF_014640195.1	Bacteroidota	99.97	0.02
RS_GCF_900106855.1	Actinomycetota	99.92	2.09
RS_GCF_028069655.1	Pseudomonadota	100.0	0.08
GB_GCA_039820405.1	Bacteroidota	98.08	0.51
GB_GCA_035650475.1	Desulfobacterota_B	95.36	0.76
GB_GCA_002363545.1	Bacillota	91.65	0.0
GB_GCA_002842095.1	Sumerlaeota	94.76	0.15
GB_GCA_020629715.1	Bacteroidota	99.13	0.01
RS_GCF_015062615.1	Actinomycetota	99.99	0.77
GB_GCA_039931675.1	Bacteroidota	100.0	0.82
GB_GCA_031425855.1	Actinomycetota	90.01	1.52
RS_GCF_030408555.1	Actinomycetota	100.0	0.09
RS_GCF_004768785.1	Bacillota	99.99	1.25
RS_GCF_003259835.1	Bacteroidota	100.0	0.03
RS_GCF_025643275.1	Pseudomonadota	99.8	0.02
RS_GCF_019929185.1	Bacillota	99.99	0.0
RS_GCF_963976135.1	Pseudomonadota	99.95	0.05
GB_GCA_017444345.1	Synergistota	96.02	0.47
GB_GCA_004322325.1	Pseudomonadota	93.04	2.74
GB_GCA_004525885.1	Pseudomonadota	92.46	1.92
GB_GCA_019456195.1	Planctomycetota	94.59	5.03
GB_GCA_001464505.1	Verrucomicrobiota	82.75	0.76
GB_GCA_003132505.1	Actinomycetota	91.23	0.0
GB_GCA_013002865.1	Actinomycetota	89.82	0.88
RS_GCF_001896955.1	Pseudomonadota	89.77	1.63
RS_GCF_936933875.1	Bacteroidota	93.87	1.58
GB_GCA_017473335.1	Bacillota	94.71	4.2
RS_GCF_035609205.1	Bacteroidota	100.0	1.14
RS_GCF_014268455.2	Pseudomonadota	100.0	0.04
GB_GCA_910575445.1	Bacillota	97.55	1.18
GB_GCA_944393175.1	Pseudomonadota	95.14	0.21
GB_GCA_037443205.1	Bacteroidota	100.0	0.05
RS_GCF_000010325.1	Campylobacterota	100.0	0.01
RS_GCF_026072635.1	Pseudomonadota	99.99	0.38
RS_GCF_040635255.1	Actinomycetota	99.99	0.27
RS_GCF_040910185.1	Actinomycetota	99.91	0.33
RS_GCF_015712065.1	Pseudomonadota	100.0	0.27
GB_GCA_020250445.1	Pseudomonadota	97.21	0.0
GB_GCA_021815365.1	Bacteroidota_A	99.95	0.71
GB_GCA_934426825.1	Bacillota	100.0	0.18
GB_GCA_003132585.1	Actinomycetota	91.41	2.72
GB_GCA_019637975.1	Bacteroidota_A	98.65	0.11
GB_GCA_944380605.1	Bacillota	93.62	0.28
GB_GCA_030146285.1	Pseudomonadota	96.2	1.77
GB_GCA_015068305.1	Bacillota	95.16	2.57
GB_GCA_002685255.1	Pseudomonadota	98.54	0.08
GB_GCA_029007295.1	Bacillota	97.1	0.09
GB_GCA_023133295.1	AUK180	96.89	0.2
RS_GCF_000277795.1	Bacillota	95.42	0.3
RS_GCF_013403875.1	Pseudomonadota	99.49	0.12
RS_GCF_013328815.1	Pseudomonadota	100.0	0.35
RS_GCF_009883055.1	Bacillota	99.94	0.44
RS_GCF_030056705.1	Bacteroidota	99.73	0.29
RS_GCF_002995845.1	Bacillota	99.74	0.14
GB_GCA_038228205.1	Verrucomicrobiota	93.33	7.19
GB_GCA_035504735.1	Desulfobacterota_B	93.2	7.6
RS_GCF_027924105.1	Pseudomonadota	99.99	0.01
RS_GCF_027111295.1	Bacteroidota	99.99	0.74
RS_GCF_004362825.1	Actinomycetota	99.11	0.21
RS_GCF_032105745.1	Actinomycetota	100.0	0.28
RS_GCF_003838195.1	Cyanobacteriota	99.99	0.8
GB_GCA_029250225.1	Pseudomonadota	100.0	0.01
GB_GCA_900756875.1	Pseudomonadota	98.92	1.54
GB_GCA_038757895.1	Planctomycetota	87.37	1.71
GB_GCA_027488215.1	Pseudomonadota	90.46	2.01
GB_GCA_025062045.1	Desulfobacterota_G	97.04	0.04
GB_GCA_947174785.1	Bacillota	96.3	0.31
GB_GCA_012837335.1	Bacillota	98.09	0.01
GB_GCA_015063605.1	Bacillota	96.22	0.73
GB_GCA_035700945.1	Pseudomonadota	91.28	2.23
GB_GCA_900551365.1	Actinomycetota	87.19	1.43
GB_GCA_900540835.1	Actinomycetota	99.61	0.35
RS_GCF_012184385.1	Actinomycetota	98.76	0.7
GB_GCA_002410325.1	Bacillota	100.0	2.66
RS_GCF_900634605.1	Chlamydiota	99.92	0.06
RS_GCF_900104255.1	Pseudomonadota	100.0	0.28
RS_GCF_024346455.1	Cyanobacteriota	100.0	0.58
RS_GCF_001656295.1	Pseudomonadota	100.0	0.08
RS_GCF_028532485.1	Actinomycetota	99.44	0.67
RS_GCF_001428335.1	Actinomycetota	99.99	0.02
RS_GCF_000452705.1	Pseudomonadota	100.0	0.62
GB_GCA_033763675.1	Gemmatimonadota	95.22	0.53
GB_GCA_028291645.1	Pseudomonadota	91.43	2.7
GB_GCA_947174915.1	Bacteroidota	93.83	3.16
GB_GCA_945878405.1	Bdellovibrionota	95.75	1.18
RS_GCF_030651625.1	Pseudomonadota	99.98	0.52
GB_GCA_937969415.1	Bacteroidota	95.1	0.5
GB_GCA_021730935.1	Elusimicrobiota	95.46	2.74
GB_GCA_017644105.1	Pseudomonadota	99.88	0.0
RS_GCF_017744435.1	Pseudomonadota	100.0	0.05
RS_GCF_041687135.1	Myxococcota	99.83	0.12
RS_GCF_004297875.1	Pseudomonadota	100.0	0.05
GB_GCA_030681615.1	Bacteroidota	97.79	0.69
GB_GCA_938008885.1	Pseudomonadota	98.2	0.24
GB_GCA_963542825.1	Bacillota	97.43	0.12
RS_GCF_003931795.1	Bacillota	99.97	1.15
GB_GCA_041390515.1	Deinococcota	94.11	0.69
GB_GCA_025758065.1	Bacillota	97.36	0.94
RS_GCF_000762845.2	Campylobacterota	99.99	0.09
RS_GCF_009193135.1	Actinomycetota	100.0	0.06
GB_GCA_958348245.1	Bacillota	99.12	0.09
GB_GCA_910578065.1	Bacillota	95.71	0.2
GB_GCA_013141415.1	Verrucomicrobiota	95.5	0.21
GB_GCA_947177175.1	Spirochaetota	90.4	0.08
GB_GCA_012798835.1	Bacillota	90.92	4.63
GB_GCA_030765725.1	Bacteroidota_A	100.0	0.3
GB_GCA_943787985.1	Pseudomonadota	94.13	0.11
GB_GCA_016712265.1	Gemmatimonadota	99.56	4.13
GB_GCA_029051735.1	Bacillota	96.19	0.47
RS_GCF_001458695.1	Nitrospirota	99.99	0.25
RS_GCF_023921225.1	Pseudomonadota	100.0	0.22
RS_GCF_000016745.1	Desulfobacterota	100.0	0.77
RS_GCF_900637555.1	Pseudomonadota	99.87	0.19
RS_GCF_023921125.1	Actinomycetota	100.0	1.95
GB_GCA_905221155.1	Bacillota	99.99	1.87
RS_GCF_014695375.1	Cyanobacteriota	100.0	0.3
RS_GCF_003350325.1	Pseudomonadota	100.0	0.0
RS_GCF_040701845.1	Actinomycetota	100.0	1.46
RS_GCF_002003465.1	Bacillota	98.54	0.21
RS_GCF_014251635.1	Bacteroidota	99.8	0.01
RS_GCF_014649655.1	Actinomycetota	100.0	1.47
RS_GCF_000519305.1	Pseudomonadota	100.0	0.06
RS_GCF_014655295.1	Actinomycetota	99.89	0.09
RS_GCF_002959915.1	Bacillota	99.99	0.28
GB_GCA_002441005.1	Acidobacteriota	90.41	0.73
GB_GCA_028823175.1	Myxococcota_A	90.97	1.74
GB_GCA_934646115.1	Bacillota	97.82	0.19
GB_GCA_017626045.1	Bacteroidota	94.18	0.0
GB_GCA_947570615.1	Bacillota	94.78	2.42
GB_GCA_038532855.1	Pseudomonadota	94.84	0.47
GB_GCA_030680175.1	Acidobacteriota	100.0	2.12
GB_GCA_022712895.1	Desulfobacterota	100.0	1.67
