accession	order	checkm2_completeness	checkm2_contamination
GB_GCA_035455245.1	Nitrososphaerales	99.16	0.2
GB_GCA_038820405.1	Bathyarchaeales	94.47	0.88
RS_GCF_024609245.1	Halobacteriales	99.7	1.37
GB_GCA_038817995.1	Bathyarchaeales	94.82	0.71
RS_GCF_018609725.1	Methanosarcinales	97.34	0.04
GB_GCA_037481775.1	Bathyarchaeales	96.71	0.25
GB_GCA_009379865.1	Nitrososphaerales	90.97	0.85
RS_GCF_000196655.1	Methanosarcinales	99.89	0.02
GB_GCA_013166835.1	JABLTI01	84.75	6.79
GB_GCA_035632035.1	UBA184	89.98	0.27
GB_GCA_015521465.1	Aciduliprofundales	96.23	0.43
RS_GCF_003838065.1	Methanomicrobiales	93.21	0.77
GB_GCA_034660695.1	UBA202	99.59	1.56
GB_GCA_016202815.1	JACPZZ01	91.0	0.07
GB_GCA_030055525.1	Archaeoglobales	98.49	0.0
GB_GCA_016840425.1	Wukongarchaeales	92.0	3.26
RS_GCF_003170075.1	Methanomicrobiales	96.81	0.72
GB_GCA_026414485.1	Bathyarchaeales	92.49	0.37
GB_GCA_018818785.1	UBA10834	94.51	1.62
RS_GCF_032944295.1	Methanomicrobiales	97.71	0.79
GB_GCA_900299125.1	Nitrososphaerales	99.53	5.74
GB_GCA_905171695.1	Methanosarcinales	94.37	0.14
GB_GCA_029762625.1	Methanomicrobiales	99.81	0.64
GB_GCA_036558405.1	Nitrososphaerales	97.37	2.2
RS_GCF_027063845.1	Thermococcales	94.16	0.44
RS_GCF_004681185.1	Halobacteriales	100.0	6.47
GB_GCA_037441265.1	Nitrososphaerales	94.45	1.28
GB_GCA_038024865.1	Thermoplasmatales	94.74	0.15
RS_GCF_002214385.1	Thermococcales	99.98	0.23
GB_GCA_005884195.1	40CM-2-53-6	95.27	1.99
GB_GCA_014189685.1	Undinarchaeales	98.08	0.77
GB_GCA_018262855.1	Methanomicrobiales	99.19	0.37
RS_GCF_014647235.1	Halobacteriales	99.88	2.18
GB_GCA_025059595.1	Caldarchaeales	92.13	0.31
GB_GCA_030539815.1	Methanobacteriales	94.3	0.1
RS_GCF_000336995.1	Halobacteriales	94.82	0.37
RS_GCF_000327485.1	Methanomicrobiales	99.97	0.66
GB_GCA_013329455.1	Methanotrichales	81.53	1.71
GB_GCA_032249255.1	Sulfolobales	93.33	3.38
RS_GCF_008122205.1	Halobacteriales	99.09	4.41
GB_GCA_038880555.1	Bathyarchaeales	97.07	3.95
GB_GCA_015523485.1	Sulfolobales	87.99	1.28
GB_GCA_035310965.1	Methanomicrobiales	94.24	2.38
RS_GCF_028275115.1	Halobacteriales	91.92	1.5
GB_GCA_029259355.1	JAPDIZ01	95.28	3.36
RS_GCF_013415905.1	Halobacteriales	99.96	6.45
RS_GCF_006740685.1	Nitrososphaerales	99.53	0.09
GB_GCA_963693095.1	Nitrososphaerales	99.55	1.23
GB_GCA_014075315.1	Nitrososphaerales	99.75	0.29
GB_GCA_013388905.1	Bathyarchaeales	93.33	2.08
RS_GCF_005406125.1	Halobacteriales	99.97	2.68
GB_GCA_016926735.1	Sigynarchaeales	99.29	4.84
GB_GCA_016841385.1	Methanomicrobiales	93.86	0.46
GB_GCA_023396365.1	Methanomicrobiales	97.89	0.0
GB_GCA_016200045.1	Nitrososphaerales	96.87	2.55
GB_GCA_029986255.1	Methanomicrobiales	80.21	0.03
GB_GCA_041559015.1	UBA10834	87.89	3.11
GB_GCA_036519825.1	Nitrososphaerales	94.88	0.78
GB_GCA_021816955.1	UBA184	93.52	0.6
GB_GCA_016926505.1	Methanomicrobiales	99.97	0.55
RS_GCF_029490015.1	Halobacteriales	99.74	0.72
GB_GCA_009778575.1	Methanomassiliicoccales	92.63	0.19
GB_GCA_021803655.1	Thermoplasmatales	91.1	2.05
GB_GCA_035687045.1	JACQPN01	88.53	1.88
GB_GCA_015520565.1	Aciduliprofundales	99.55	3.95
GB_GCA_007129655.1	Halarchaeoplasmatales	90.52	0.29
RS_GCF_029848115.1	Methanobacteriales	99.96	0.04
RS_GCF_020567425.1	Halobacteriales	99.92	0.94
GB_GCA_038848185.1	EX4484-205	93.51	0.83
GB_GCA_029258755.1	Iainarchaeales	93.69	1.27
GB_GCA_937875805.1	Nitrososphaerales	88.63	2.14
GB_GCA_020345725.1	RBG-16-68-12	76.3	1.23
RS_GCF_004799685.1	Halobacteriales	99.87	2.59
GB_GCA_030646255.1	Burarchaeales	83.95	1.54
RS_GCF_902770715.1	Methanobacteriales	93.31	0.82
RS_GCF_000711905.1	Methanosarcinales_A	96.04	0.0
GB_GCA_041554135.1	UBA10834	81.56	2.18
GB_GCA_030672305.1	DHVEG-1	88.38	2.68
GB_GCA_014523515.1	Nitrososphaerales	87.82	7.29
GB_GCA_012520015.1	Methanomicrobiales	84.34	1.89
RS_GCF_020886315.1	Sulfolobales	100.0	3.25
RS_GCF_019175345.1	Sulfolobales	100.0	1.07
GB_GCA_029255365.1	Nitrososphaerales	86.34	0.15
GB_GCA_035517575.1	Methanomicrobiales	88.13	2.36
GB_GCA_035560835.1	Methanosarcinales	94.42	0.12
RS_GCF_963457545.1	Nitrososphaerales	99.84	2.55
RS_GCF_030323845.1	Methanobacteriales	99.73	0.12
GB_GCA_038741495.1	Thermofilales	95.92	0.19
RS_GCF_037031285.1	Halobacteriales	98.64	1.18
RS_GCF_037201915.1	Halobacteriales	99.79	2.06
GB_GCA_902787415.1	Methanomassiliicoccales	82.6	1.82
GB_GCA_003021235.1	Halobacteriales	90.03	0.27
GB_GCA_959597175.1	Methanomassiliicoccales	99.72	0.57
GB_GCA_018260615.1	Altiarchaeales	87.48	2.5
GB_GCA_026014585.1	Bathyarchaeales	95.59	1.81
RS_GCF_023238205.1	Halobacteriales	99.99	4.55
GB_GCA_036626435.1	Halobacteriales	94.87	0.86
GB_GCA_000565255.1	Sulfolobales	99.87	0.17
GB_GCA_022749935.1	UBA184	95.2	2.73
RS_GCF_000371805.1	Methanococcales	96.83	0.03
GB_GCA_009789175.1	Halobacteriales	99.87	4.37
GB_GCA_021806295.1	Thermoplasmatales	96.01	0.42
GB_GCA_030539615.1	Methanobacteriales	94.02	0.02
GB_GCA_036557405.1	Nitrososphaerales	96.44	0.21
RS_GCF_000023945.1	Halobacteriales	99.98	0.45
GB_GCA_041641795.1	Halobacteriales	91.81	5.07
GB_GCA_963666355.1	Methanomicrobiales	89.31	1.92
RS_GCF_000243315.1	Sulfolobales	99.98	0.28
GB_GCA_001421185.1	Methanomassiliicoccales	93.68	3.5
GB_GCA_038874435.1	UBA184	95.07	0.36
RS_GCF_013407145.1	Nitrososphaerales	99.24	0.03
GB_GCA_003019595.1	Marsarchaeales	91.17	5.66
RS_GCF_000337215.1	Halobacteriales	99.78	3.39
GB_GCA_018647405.1	Nitrososphaerales	85.67	3.52
GB_GCA_027491395.1	Korarchaeales	98.41	1.93
GB_GCA_030754655.1	MGIII	94.38	0.87
GB_GCA_021161465.1	WALL01	92.99	0.17
GB_GCA_041648475.1	Methanosarcinales	99.9	4.04
GB_GCA_030019335.1	Bathyarchaeales	100.0	0.7
RS_GCF_024136965.1	Halobacteriales	100.0	5.61
GB_GCA_030017755.1	Bathyarchaeales	87.82	1.62
GB_GCA_021797915.1	Thermoplasmatales	89.18	0.03
RS_GCF_904067545.1	Thermococcales	99.84	0.58
RS_GCF_000427685.1	Halobacteriales	99.8	1.61
GB_GCA_016882195.1	Methanomethylicales	97.43	0.59
GB_GCA_026014875.1	TCS64	96.0	3.89
RS_GCF_000337575.1	Halobacteriales	98.8	0.85
RS_GCF_012027555.1	Thermococcales	99.92	0.82
RS_GCF_041663825.1	Methanomicrobiales	97.43	1.04
GB_GCA_026394375.1	Methanomassiliicoccales	99.84	1.34
GB_GCA_026708305.1	Nitrososphaerales	95.49	0.02
GB_GCA_020348865.1	Bathyarchaeales	92.1	0.84
GB_GCA_035622275.1	UBA184	97.44	0.94
GB_GCA_017412625.1	Methanomicrobiales	89.2	0.0
GB_GCA_025059745.1	Caldarchaeales	88.77	0.63
GB_GCA_029775965.1	Conexivisphaerales	93.02	1.54
GB_GCA_038841535.1	Sulfolobales	83.77	0.77
RS_GCF_000337415.1	Halobacteriales	99.71	1.12
GB_GCA_026014735.1	Bathyarchaeales	99.28	1.69
GB_GCA_016284295.1	Methanomassiliicoccales	94.97	2.67
GB_GCA_029850555.1	Nitrososphaerales	88.07	5.19
GB_GCA_029987235.1	Methanomicrobiales	81.11	0.21
GB_GCA_035255545.1	Nitrososphaerales	85.24	1.55
GB_GCA_025054855.1	Nitrososphaerales	98.9	0.1
RS_GCF_000337695.1	Halobacteriales	99.66	0.86
GB_GCA_019685575.1	Bathyarchaeales	94.46	1.56
GB_GCA_005878985.1	RBG-16-68-12	91.1	3.97
GB_GCA_963611065.1	Methanomassiliicoccales	85.97	3.2
GB_GCA_003165195.1	Bathyarchaeales	95.26	5.49
GB_GCA_021162305.1	UBA202	93.34	2.54
GB_GCA_022750295.1	UBA184	90.94	0.34
GB_GCA_004347955.1	Methanomethylicales	80.11	1.77
GB_GCA_038887295.1	Anstonellales	97.62	0.78
GB_GCA_030017655.1	Methanobacteriales	95.67	0.81
GB_GCA_020833255.1	Sulfolobales	99.11	0.58
GB_GCA_025350045.1	Methanomicrobiales	95.9	2.2
GB_GCA_018897155.1	EX4484-52	95.99	2.38
GB_GCA_030606485.1	Sigynarchaeales	100.0	4.65
GB_GCA_029862745.1	Nitrososphaerales	99.91	0.86
GB_GCA_017935945.1	Methanomassiliicoccales	99.0	1.6
GB_GCA_025057995.1	Thermofilales	90.8	1.09
RS_GCF_024808815.1	Methanosarcinales	98.85	0.27
GB_GCA_038892955.1	Sulfolobales	89.41	0.34
GB_GCA_036554645.1	Nitrososphaerales	89.94	0.78
GB_GCA_024256285.1	Nitrososphaerales	94.97	2.75
GB_GCA_023140195.1	RBG-16-68-12	94.91	1.12
GB_GCA_041640715.1	Gearchaeales	90.32	1.2
GB_GCA_040771805.1	Methanofastidiosales	96.36	0.04
GB_GCA_028275385.1	40CM-2-53-6	95.64	0.78
GB_GCA_027295865.1	Nitrososphaerales	84.9	2.66
GB_GCA_023489435.1	Thermoplasmatales	81.37	0.0
GB_GCA_038890155.1	Caldarchaeales	93.75	0.61
GB_GCA_000224475.1	Halobacteriales	99.95	0.61
RS_GCF_000336875.1	Halobacteriales	95.63	0.62
GB_GCA_003331425.1	Nitrososphaerales	96.59	0.29
GB_GCA_031961865.1	Aciduliprofundales	98.8	0.0
RS_GCF_017874455.1	Methanobacteriales	99.79	0.22
GB_GCA_003649205.1	Thermoproteales	93.79	4.24
GB_GCA_035630235.1	Nitrososphaerales	94.23	1.51
RS_GCF_000455365.1	Halobacteriales	96.66	0.36
GB_GCA_025059045.1	Bathyarchaeales	98.01	0.37
GB_GCA_023488885.1	Thermoplasmatales	92.51	1.19
RS_GCF_000025625.1	Halobacteriales	99.9	0.33
RS_GCF_010119195.1	Halobacteriales	99.96	1.21
RS_GCF_000828575.1	Methanobacteriales	99.96	0.1
GB_GCA_018334095.1	Nitrososphaerales	94.22	3.99
GB_GCA_021325615.1	Nitrososphaerales	95.92	0.68
GB_GCA_022567895.1	Nitrososphaerales	88.84	0.44
GB_GCA_030604085.1	Methanosarcinales	94.57	1.34
GB_GCA_035362715.1	Methanofastidiosales	97.77	0.52
GB_GCA_040390065.1	JACPAO01	89.01	0.3
RS_GCF_005049285.1	Halobacteriales	98.1	1.2
GB_GCA_014874415.1	Nitrososphaerales	91.56	3.55
RS_GCF_037081675.1	Halobacteriales	99.97	2.84
GB_GCA_023254095.1	Caldarchaeales	96.38	1.22
RS_GCF_000337195.1	Halobacteriales	99.87	1.07
GB_GCA_035527755.1	Methanomassiliicoccales	99.7	0.24
GB_GCA_903835385.1	Anstonellales	88.78	3.67
RS_GCF_000018465.1	Nitrososphaerales	99.59	0.03
GB_GCA_026993785.1	Aciduliprofundales	99.84	0.98
GB_GCA_030055575.1	Methanomethylicales	87.83	1.12
RS_GCF_000008645.1	Methanobacteriales	99.9	0.18
GB_GCA_963625795.1	Methanomassiliicoccales	91.87	1.12
GB_GCA_015522645.1	Sulfolobales	98.42	0.15
GB_GCA_030613185.1	Sigynarchaeales	89.61	4.6
GB_GCA_023379805.1	Nitrososphaerales	95.44	1.67
GB_GCA_003665935.1	Halobacteriales	99.85	5.28
RS_GCF_017432245.1	Methanobacteriales	86.91	0.89
GB_GCA_021797355.1	Thermoplasmatales	95.57	1.33
RS_GCF_004363215.1	Methanosarcinales	81.62	0.0
RS_GCF_000025865.1	Methanosarcinales	99.99	0.03
GB_GCA_022841205.1	Methanomicrobiales	98.44	0.01
GB_GCA_021800855.1	Nitrososphaerales	90.9	1.66
GB_GCA_013153895.1	Thermoproteales	87.75	0.32
GB_GCA_018304425.1	Iainarchaeales	92.55	1.3
GB_GCA_013867335.1	Nitrososphaerales	92.72	0.85
RS_GCF_002487355.1	Methanosarcinales	99.99	2.33
GB_GCA_041650395.1	Anstonellales	92.09	0.75
GB_GCA_030550155.1	Caldarchaeales	90.09	0.6
RS_GCF_000264495.1	Sulfolobales	99.95	0.31
GB_GCA_963651945.1	Methanomassiliicoccales	97.66	0.47
RS_GCF_004698125.1	Halobacteriales	99.87	3.71
GB_GCA_028866655.1	Nitrososphaerales	94.56	0.53
GB_GCA_019894795.1	Heimdallarchaeales	89.47	6.97
RS_GCF_023227715.1	Methanobacteriales	99.98	0.35
GB_GCA_902384585.1	Anstonellales	89.09	0.93
GB_GCA_000830315.1	SCGC-AAA011-G17	95.72	0.4
GB_GCA_026552855.1	Methanosarcinales	99.86	6.49
GB_GCA_022759365.1	Sulfolobales	99.49	0.14
RS_GCF_041361345.1	Halobacteriales	97.43	0.64
GB_GCA_026552975.1	Methanosarcinales	93.63	1.73
GB_GCA_902789505.1	Methanobacteriales	84.35	1.36
GB_GCA_032123335.1	Anstonellales	87.0	0.12
GB_GCA_039630085.1	Caldarchaeales	89.93	0.05
RS_GCF_012027355.1	Thermococcales	99.94	0.1
GB_GCA_025923455.1	Nitrososphaerales	95.37	0.23
GB_GCA_015662595.1	Sulfolobales	80.55	0.11
GB_GCA_002838935.1	GCA-002838935	82.95	0.28
RS_GCF_000092465.1	Sulfolobales	99.92	0.04
RS_GCF_021431925.1	Halobacteriales	99.48	0.49
GB_GCA_039938515.1	Nitrososphaerales	99.84	0.85
GB_GCA_022014875.1	Thermoproteales	79.98	0.15
RS_GCF_007671685.1	Halobacteriales	99.96	2.72
GB_GCA_029907345.1	Methanomicrobiales	87.99	0.24
GB_GCA_020354575.1	Bathyarchaeales	92.87	3.45
GB_GCA_026016245.1	Pacearchaeales	91.77	1.46
GB_GCA_027075325.1	Thermococcales	99.99	5.72
GB_GCA_016839515.1	Hodarchaeales	91.32	6.09
RS_GCF_003201765.2	Sulfolobales	99.95	0.03
RS_GCF_963677065.1	Methanomicrobiales	97.01	0.74
RS_GCF_007119345.1	Halobacteriales	92.23	5.97
RS_GCF_001571405.1	Methanomicrobiales	99.49	0.27
GB_GCA_035656295.1	40CM-2-53-6	91.9	2.06
RS_GCF_000730285.1	Nitrososphaerales	99.68	1.05
GB_GCA_004322465.1	Nitrososphaerales	91.74	1.27
GB_GCA_035561295.1	Methanomicrobiales	99.89	1.29
GB_GCA_002067795.1	Methanotrichales	96.44	0.24
RS_GCF_007421925.1	Halobacteriales	99.04	1.12
GB_GCA_963422575.1	Nitrososphaerales	99.66	0.48
GB_GCA_018238205.1	Thorarchaeales	99.61	6.9
GB_GCA_021827865.1	Nitrososphaerales	99.24	7.47
GB_GCA_009377575.1	Nitrososphaerales	99.15	2.41
RS_GCF_003369835.1	Halobacteriales	99.98	4.31
RS_GCF_040025155.1	Halobacteriales	94.31	0.5
GB_GCA_003266145.1	Methanobacteriales	86.27	0.5
GB_GCA_031431055.1	Nitrososphaerales	87.67	2.02
GB_GCA_029948415.1	Nitrososphaerales	96.19	1.25
GB_GCA_011049295.1	UBA202	92.32	0.59
RS_GCF_023746595.1	Thermococcales	98.61	0.3
GB_GCA_027068365.1	Methanococcales	89.43	0.03
GB_GCA_041287245.1	Thermofilales	99.99	5.05
GB_GCA_950073955.1	Nitrososphaerales	87.57	0.46
RS_GCF_032878975.1	Methanomicrobiales	99.31	0.23
GB_GCA_027051165.1	JALTZZ01	100.0	3.65
RS_GCF_000230715.2	Halobacteriales	99.98	0.46
GB_GCA_016839275.1	Thorarchaeales	83.87	3.6
GB_GCA_027365105.1	UBA184	97.54	0.29
GB_GCA_002503105.1	Methanomicrobiales	89.12	0.09
GB_GCA_019721035.1	Sysuiplasmatales	95.21	1.66
RS_GCF_009617995.1	Halobacteriales	99.75	0.37
GB_GCA_038823825.1	Hadarchaeales	95.77	0.2
GB_GCA_038882575.1	Bathyarchaeales	94.98	2.42
GB_GCA_030603365.1	Heimdallarchaeales	88.96	3.43
GB_GCA_036395115.1	RBG-16-68-12	98.45	2.89
GB_GCA_021324265.1	Gearchaeales	95.18	0.69
GB_GCA_021498095.1	Sigynarchaeales	93.56	4.49
GB_GCA_016109435.1	Methanomassiliicoccales	97.79	5.68
GB_GCA_946480575.1	Nitrososphaerales	98.73	0.34
RS_GCF_020696975.1	Methanomicrobiales	95.47	0.7
GB_GCA_041639855.1	Halobacteriales	82.64	2.01
RS_GCF_000012285.1	Sulfolobales	100.0	0.16
GB_GCA_037137755.1	Methanomicrobiales	90.56	1.6
GB_GCA_020793555.1	Methanosarcinales	92.74	2.12
RS_GCF_024518575.1	Methanotrichales	99.32	0.01
GB_GCA_038843015.1	Sulfolobales	95.89	1.69
RS_GCF_000336915.1	Halobacteriales	99.59	0.35
RS_GCF_001953745.1	Halobacteriales	99.99	1.27
RS_GCF_003149675.1	Methanobacteriales	97.78	0.09
GB_GCA_963662995.1	Nitrososphaerales	99.37	10.0
GB_GCA_002067325.1	Methanobacteriales	94.47	0.9
GB_GCA_030681145.1	Methanobacteriales	95.54	0.27
GB_GCA_030037875.1	UBA184	90.52	2.97
RS_GCF_019263745.1	Methanomicrobiales	99.3	3.1
RS_GCF_029633915.1	Methanomicrobiales	99.7	0.63
RS_GCF_001485535.1	Halobacteriales	99.6	0.28
GB_GCA_002498375.1	Methanomicrobiales	95.5	0.17
RS_GCF_023115355.1	Halobacteriales	98.18	2.68
RS_GCF_013391635.1	Halobacteriales	98.99	5.16
GB_GCA_017610335.1	Iainarchaeales	87.2	2.93
GB_GCA_007280335.1	Nitrososphaerales	95.09	0.13
GB_GCA_039630055.1	Caldarchaeales	91.88	2.73
GB_GCA_041657955.1	JBBABA01	94.84	0.82
RS_GCF_002177135.1	Halobacteriales	99.51	0.39
GB_GCA_020027325.1	Nitrososphaerales	91.13	0.0
GB_GCA_036012445.1	Nitrososphaerales	87.13	0.58
RS_GCF_041859935.1	Methanomicrobiales	96.42	0.63
RS_GCF_029889805.1	Halobacteriales	95.22	0.27
GB_GCA_017885605.1	DHVEG-1	91.13	0.93
GB_GCA_003559215.1	Halobacteriales	96.74	6.25
GB_GCA_013388835.1	Thorarchaeales	97.58	3.13
GB_GCA_002255045.1	EX4484-205	90.39	6.89
GB_GCA_038879595.1	Sulfolobales	97.62	0.2
GB_GCA_030669135.1	TCS64	94.83	4.14
GB_GCA_016932875.1	Iainarchaeales	89.93	1.03
GB_GCA_003352285.1	Nitrososphaerales	99.64	0.0
GB_GCA_944319735.1	Methanomassiliicoccales	99.55	0.75
GB_GCA_001587575.1	Methanofastidiosales	94.99	0.17
GB_GCA_026394605.1	Methanomicrobiales	91.67	0.17
GB_GCA_026625165.1	Methanomicrobiales	98.81	0.02
GB_GCA_022848825.1	RBG-16-68-12	88.99	2.61
GB_GCA_027030065.1	Sulfolobales	97.64	3.11
GB_GCA_016839805.1	Hermodarchaeales	86.71	3.11
GB_GCA_036446635.1	Hydrothermarchaeales	86.66	0.42
GB_GCA_038046765.1	Anstonellales	89.73	0.15
RS_GCF_011620785.1	Methanotrichales	98.32	0.29
GB_GCA_003194445.1	Methanosarcinales	91.71	2.58
GB_GCA_021850545.1	Thermoplasmatales	89.62	0.92
RS_GCF_037081775.1	Halobacteriales	99.95	0.84
GB_GCA_005888735.1	40CM-2-53-6	93.18	3.32
GB_GCA_002844335.1	Halobacteriales	99.91	0.45
RS_GCF_012027325.1	Thermococcales	99.35	1.5
RS_GCF_004114995.1	Halobacteriales	99.98	5.14
GB_GCA_035643435.1	Nitrososphaerales	97.35	1.03
GB_GCA_035625165.1	UBA184	91.15	5.96
RS_GCF_032027985.1	Halobacteriales	99.98	7.17
GB_GCA_030059675.1	Caldarchaeales	94.39	0.57
RS_GCF_018228765.1	Halobacteriales	99.38	0.91
GB_GCA_015660995.1	Methanomethylicales	98.32	0.7
RS_GCF_009176545.1	Halobacteriales	99.92	6.49
RS_GCF_000591035.1	Sulfolobales	99.95	0.47
GB_GCA_022750125.1	UBA184	87.39	3.95
RS_GCF_001542905.1	Halobacteriales	99.16	0.01
GB_GCA_937921685.1	Caldarchaeales	91.65	0.11
GB_GCA_038885755.1	Caldarchaeales	86.53	0.34
RS_GCF_000969965.1	Methanosarcinales	99.98	0.55
GB_GCA_040753455.1	SG8-5	92.99	1.64
RS_GCF_030539875.1	Methanobacteriales	99.99	0.91
GB_GCA_000960885.1	Thermoproteales	92.57	0.7
GB_GCA_015521085.1	Sulfolobales	95.47	0.08
GB_GCA_028275005.1	Halobacteriales	78.38	0.76
RS_GCF_023702125.1	Halobacteriales	99.23	0.0
GB_GCA_027023255.1	Sulfolobales	92.59	0.92
RS_GCF_013402875.1	Halobacteriales	99.83	4.8
GB_GCA_025464325.1	Alkanophagales	94.46	0.12
GB_GCA_021158865.1	UBA202	94.6	0.41
GB_GCA_038861395.1	EX4484-205	91.5	2.74
RS_GCF_038446525.1	Methanosarcinales	99.99	0.06
RS_GCF_900100875.1	Halobacteriales	99.82	2.01
RS_GCF_026586625.1	Halobacteriales	99.35	1.63
GB_GCA_020833245.1	Sulfolobales	78.46	0.0
RS_GCF_004799645.1	Halobacteriales	99.99	12.7
GB_GCA_014859785.1	Methanosarcinales	95.74	0.27
GB_GCA_020348345.1	UBA10834	86.76	1.19
RS_GCF_900111485.1	Halobacteriales	100.0	3.6
RS_GCF_019599405.1	Halobacteriales	99.97	2.22
RS_GCF_000303155.1	Nitrososphaerales	99.85	0.67
GB_GCA_013114705.1	Nitrososphaerales	86.43	0.48
GB_GCA_041489255.1	RBG-16-68-12	96.47	2.73
GB_GCA_021158305.1	Bathyarchaeales	95.12	1.88
RS_GCF_900107195.1	Halobacteriales	99.34	1.83
GB_GCA_030697975.1	Nitrososphaerales	90.7	0.46
RS_GCF_001477655.1	Methanobacteriales	99.99	0.62
GB_GCA_020725985.1	Methanomassiliicoccales	73.93	0.76
GB_GCA_013538805.1	Nitrososphaerales	97.19	0.05
GB_GCA_035547955.1	Nitrososphaerales	84.84	0.16
GB_GCA_035283365.1	RBG-16-68-12	93.9	6.41
RS_GCF_001484685.1	Thermococcales	99.83	0.32
GB_GCA_027002875.1	Sulfolobales	99.99	0.66
GB_GCA_027491455.1	JAOZGF01	94.08	3.64
GB_GCA_009781675.1	Bathyarchaeales	95.34	0.64
RS_GCF_025641885.1	Thermoproteales	99.99	0.04
GB_GCA_020833025.1	Thermoproteales	93.92	0.0
RS_GCF_015062935.1	Methanobacteriales	99.57	1.3
GB_GCA_002495885.1	UBA148	95.85	0.32
RS_GCF_002153915.1	Methanonatronarchaeales	100.0	1.48
RS_GCF_001462205.1	Halobacteriales	98.2	0.95
GB_GCA_017434555.1	Methanobacteriales	99.49	1.28
RS_GCF_017094525.1	Halobacteriales	99.95	0.49
GB_GCA_019058015.1	Sigynarchaeales	94.44	3.4
GB_GCA_027037535.1	Sulfolobales	99.94	0.07
GB_GCA_015523125.1	Aciduliprofundales	95.01	0.46
GB_GCA_022750435.1	UBA184	84.41	0.89
GB_GCA_041601615.1	JACPAO01	93.04	0.28
GB_GCA_026134085.1	Alkanophagales	89.05	0.7
GB_GCA_041306005.1	JAFGQM01	81.83	0.09
RS_GCF_037078405.1	Halobacteriales	99.88	1.23
RS_GCF_004785955.1	Halobacteriales	99.64	0.84
GB_GCA_003104905.1	Methanosarcinales	98.47	3.36
GB_GCA_005877305.1	Nitrososphaerales	86.94	1.21
RS_GCF_023638035.1	Halobacteriales	99.21	0.31
GB_GCA_003141855.1	Bathyarchaeales	95.97	3.05
GB_GCA_026394315.1	40CM-2-53-6	90.65	1.51
GB_GCA_029775925.1	Nitrososphaerales	96.35	3.22
RS_GCF_001861355.1	Halobacteriales	99.51	2.57
RS_GCF_024449025.1	Halobacteriales	99.44	1.35
GB_GCA_900314635.1	Methanobacteriales	96.84	0.51
RS_GCF_000015225.1	Thermofilales	99.99	0.43
GB_GCA_038740895.1	Caldarchaeales	92.62	0.75
GB_GCA_037917675.1	B14-G2	92.71	1.92
RS_GCF_023276355.1	Halobacteriales	95.84	1.79
GB_GCA_025059415.1	Caldarchaeales	93.24	1.07
RS_GCF_041641895.1	Halobacteriales	92.25	2.98
RS_GCF_003697845.1	Halobacteriales	99.57	2.55
GB_GCA_020833345.1	Sulfolobales	93.61	0.02
GB_GCA_012522645.1	Methanomassiliicoccales	91.75	0.58
GB_GCA_028275825.1	Sulfolobales	98.45	0.2
GB_GCA_021162815.1	UBA202	97.03	0.25
GB_GCA_026396385.1	Fermentimicrarchaeales	96.93	1.79
GB_GCA_039889305.1	Sulfolobales	93.95	0.86
GB_GCA_021162065.1	UBA202	95.87	0.18
GB_GCA_000415965.1	Halobacteriales	89.62	0.28
RS_GCF_032714475.1	Methanosarcinales	81.05	0.0
GB_GCA_038825355.1	40CM-2-53-6	91.39	2.2
GB_GCA_001273385.1	Bathyarchaeales	92.77	0.29
GB_GCA_022865315.1	Methanotrichales	97.07	1.86
RS_GCF_019931065.1	Methanobacteriales	99.24	0.65
GB_GCA_023396065.1	Methanomicrobiales	95.7	0.43
GB_GCA_026014705.1	Bathyarchaeales	96.44	0.81
RS_GCF_002906575.1	Halobacteriales	98.03	2.1
GB_GCA_035575435.1	Nitrososphaerales	93.82	0.16
RS_GCF_020405225.1	Halobacteriales	100.0	3.4
GB_GCA_003491285.1	Methanobacteriales	99.87	0.13
GB_GCA_035283685.1	Bathyarchaeales	98.13	3.63
RS_GCF_037198285.1	Halobacteriales	97.55	0.01
GB_GCA_022749815.1	UBA184	93.2	1.04
GB_GCA_030594205.1	RBG-16-68-12	94.05	1.4
RS_GCF_024296685.1	Halobacteriales	99.92	0.3
RS_GCF_014889545.1	Methanobacteriales	99.84	0.02
RS_GCF_000802205.1	Nitrososphaerales	99.75	0.58
GB_GCA_040414675.1	Nitrososphaerales	91.25	1.57
RS_GCF_000223905.1	Halobacteriales	99.98	0.57
GB_GCA_035528495.1	Nitrososphaerales	96.47	2.62
GB_GCA_040776445.1	Methanomicrobiales	98.87	0.79
RS_GCF_000302455.1	Methanobacteriales	99.29	0.44
RS_GCF_009741925.1	Halobacteriales	97.04	1.14
GB_GCA_014730165.1	Sigynarchaeales	97.79	4.93
GB_GCA_937864385.1	Methanotrichales	93.41	0.67
GB_GCA_011523285.1	Nitrososphaerales	93.7	0.03
GB_GCA_016840095.1	Heimdallarchaeales	89.17	7.81
RS_GCF_000220175.1	Nitrososphaerales	99.68	0.01
GB_GCA_005888635.1	40CM-2-53-6	92.33	1.62
RS_GCF_000317795.1	Sulfolobales	99.71	0.34
GB_GCA_002010075.1	Methanosarcinales_A	89.75	0.54
GB_GCA_013694585.1	Nitrososphaerales	90.2	0.93
GB_GCA_027036775.1	Archaeoglobales	99.94	0.0
GB_GCA_038046785.1	JACPAO01	94.79	0.12
GB_GCA_017508065.1	Methanomassiliicoccales	93.94	3.2
GB_GCA_018396415.1	RBG-16-48-13	96.29	3.28
